Month,Day,Year,Alameda Hall,Charney Hall,Heafy Hall,Campisi,Dunne,Graham,San Filipo,Date
1,3,2021,1.774489373,7.065001726,11.14132381,8.045522571,8.477630854,7.902135134,1.569859266,1/3/2021
1,3,2021,1.811358482,7.057285666,11.08447742,8.020329833,8.443791389,7.841228127,1.599881083,1/3/2021
1,3,2021,1.966943741,7.005474687,11.56592298,8.037139177,8.446843624,7.735212445,1.550478429,1/3/2021
1,3,2021,2.085977614,6.936130285,12.08627844,8.007273317,8.393100977,7.790282011,1.56564042,1/3/2021
1,3,2021,2.142017245,7.028512478,15.6602583,8.014162898,8.492102623,7.981404901,1.553703219,1/3/2021
1,3,2021,2.271833897,7.072846293,18.16009808,8.023579121,8.399001599,8.224228382,1.556955397,1/3/2021
1,3,2021,2.372894585,7.116588593,16.48658705,8.013609052,8.531622649,8.256358862,1.565398455,1/3/2021
1,3,2021,2.405472815,6.467238665,14.79208541,7.958953142,8.407130242,7.870202303,1.549144447,1/3/2021
1,3,2021,2.407240927,6.768982053,14.68782044,7.490695715,8.438800097,7.851741552,1.536048532,1/3/2021
1,3,2021,2.375100672,6.605477095,14.70076561,7.442409039,8.480009318,7.742641091,1.529102683,1/3/2021
1,3,2021,2.201586128,6.5377388,13.9626956,7.482950807,8.569930315,7.657949209,1.553523868,1/3/2021
1,3,2021,2.077172935,6.588564515,14.92959595,7.457278609,8.43100214,7.754166365,1.65503493,1/3/2021
1,3,2021,2.076710403,6.567654014,13.39998699,7.462109804,8.607798815,7.679306149,1.761642397,1/3/2021
1,3,2021,1.929435134,6.613019347,14.10288811,7.460776091,11.08838677,7.702059627,2.415281802,1/3/2021
1,3,2021,1.883251369,6.525375962,14.75385523,7.450635433,9.943628788,7.716320992,2.026723564,1/3/2021
1,3,2021,1.886561781,6.53926313,13.36836934,7.458927155,10.62121677,7.90635705,2.118061185,1/3/2021
1,3,2021,1.918929756,6.902869701,14.82358599,7.912594199,9.502335548,9.111102104,2.059623242,1/3/2021
1,3,2021,1.946516335,7.323306203,14.84819055,8.010006786,8.414010763,9.081500531,1.906692177,1/3/2021
1,3,2021,1.936291486,7.236175895,14.82472897,8.012313843,8.45876956,9.059444189,1.394418806,1/3/2021
1,3,2021,1.937060118,7.354001522,16.25284076,8.016577125,8.418797493,9.119894028,1.69958359,1/3/2021
1,3,2021,1.951224,7.244665027,13.01954484,7.998831988,8.477456331,9.067448854,1.916057557,1/3/2021
1,3,2021,1.938114941,7.140742898,11.05434752,8.022712708,8.439664602,9.108891726,1.84584865,1/3/2021
1,3,2021,1.847344071,7.096376419,11.0279851,8.037577391,8.419548988,9.136532307,1.766326726,1/3/2021
1,4,2021,1.795151442,6.993604422,10.99921274,8.02657032,8.406068564,8.845578432,1.736895084,1/4/2021
1,4,2021,1.771508992,6.922817826,10.97873664,7.997733712,8.49612999,7.902828574,1.742254794,1/4/2021
1,4,2021,1.773249209,6.932137966,10.97643209,8.002874971,8.409129381,7.811488152,1.644124031,1/4/2021
1,4,2021,1.785842568,7.027735233,11.59980202,8.025812268,8.444000006,7.811987996,1.705289185,1/4/2021
1,4,2021,1.886562079,7.313177228,12.06175089,8.018118262,8.342612982,7.735556364,1.586741924,1/4/2021
1,4,2021,1.88782841,8.156490088,15.74842668,8.007101298,8.462127924,7.94872129,1.556540906,1/4/2021
1,4,2021,2.174527854,8.370166182,18.5492425,8.023843288,8.447176695,8.321631074,1.540944517,1/4/2021
1,4,2021,2.052767694,8.247694373,16.23961783,8.039493561,8.467110634,8.237598896,1.555090517,1/4/2021
1,4,2021,2.047511637,7.470775843,14.73118377,8.061427593,8.319291592,7.851310611,1.544667244,1/4/2021
1,4,2021,2.023677469,7.104160428,14.80007243,7.685599804,8.417519331,7.963363886,1.516341925,1/4/2021
1,4,2021,2.014659941,6.904648781,15.75092197,7.576049686,9.375997544,7.729230762,1.441084534,1/4/2021
1,4,2021,2.015298188,7.095603228,14.50380445,7.599889994,10.43244386,7.761180282,1.617284328,1/4/2021
1,4,2021,2.037442684,6.888871431,13.93234801,7.604240894,9.832232237,7.792885184,1.663207621,1/4/2021
1,4,2021,2.021377444,7.172085643,15.95562768,7.737630248,10.84331322,7.796423793,1.640331775,1/4/2021
1,4,2021,2.023907483,6.662029863,14.34679127,7.609657765,9.883523941,7.857274175,1.671809703,1/4/2021
1,4,2021,2.034018994,6.763823748,16.16765094,7.61065054,9.901281834,7.808113933,1.66451475,1/4/2021
1,4,2021,2.024468839,6.77914238,14.16708374,7.596534729,10.92981577,7.993546725,1.668689966,1/4/2021
1,4,2021,2.055306733,7.048325539,15.16656232,7.951915503,10.10634899,9.141639233,1.831951231,1/4/2021
1,4,2021,2.078697622,7.136083126,14.93094993,8.105527163,10.70688677,9.118904114,1.56791389,1/4/2021
1,4,2021,2.05080533,7.157306194,16.1766007,8.117704392,9.382220983,9.239844561,1.565269649,1/4/2021
1,4,2021,1.964128286,7.179998875,14.86564732,8.092453718,8.499539137,9.173144818,1.76334706,1/4/2021
1,4,2021,1.968219757,7.246570826,13.41959691,8.113179207,8.412657976,9.25946188,1.576387823,1/4/2021
1,4,2021,1.966377139,7.256871223,12.02218008,8.136609554,8.430238962,9.175475597,1.575192005,1/4/2021
1,4,2021,2.132885039,6.988103747,12.09416485,8.102528811,8.488587379,9.112855673,1.567171425,1/4/2021
1,5,2021,2.430877507,6.944364786,12.07122207,8.089740038,8.560782433,8.91684556,1.624765485,1/5/2021
1,5,2021,2.531575501,6.895314336,12.04562068,8.104678631,8.52352643,7.932368875,1.564615667,1/5/2021
1,5,2021,2.534699738,6.917663455,12.1171813,8.100287199,8.531876564,7.784588695,1.563663393,1/5/2021
1,5,2021,2.539652825,6.877066136,12.69789529,8.090118885,8.6571908,7.831115484,1.563913763,1/5/2021
1,5,2021,2.632679284,6.922827006,12.80767822,8.081343889,8.425504923,7.796838403,1.560213447,1/5/2021
