,total_hourly_usage
618,55.008830011
619,55.700003677999995
620,58.957077928
621,54.524394992
622,50.197631896000004
623,49.526431508
624,47.945628526
625,46.614910306999995
626,46.335328101
627,46.29091322199999
628,46.69210446299999
629,53.506133203
630,51.900539881
631,52.779121696
632,51.371998548
633,53.03360539500001
634,56.380348986
635,52.964276491
636,51.400801001000005
637,53.02303005
638,52.714453999
639,54.64412862
640,57.952192136
641,62.093493521999996
642,58.020266234999994
643,56.555865768
644,56.487655165
645,51.949993015000004
646,49.007306990000004
647,48.367798623
648,47.604358202
649,49.164550121999994
650,46.203864753000005
651,46.749100511
652,50.33358026
653,56.396358795
654,52.199841438
655,51.834873554999994
656,50.36735362
657,50.313377560999996
658,51.597247423999995
659,52.473091907000004
660,52.608687171999996
661,52.003346145
662,60.38515913700001
663,51.979548335
664,50.619552913999996
665,58.247558059
666,53.987715426
667,55.61831582
668,56.769911465
669,52.3074528
670,52.357209325
671,48.186200141
672,52.659448143999995
673,47.22806794099999
674,45.874714612000005
675,46.035657766
676,52.503200709
677,55.55847877299999
678,54.699693152
679,58.991502753999995
680,60.057731334
681,51.49946683900001
682,52.128049615
683,52.549443545
684,56.404997116000004
685,55.003831987
686,53.678074429
687,54.905437414
688,52.70422488900001
689,54.567217057
690,55.782726528
691,54.774753815000004
692,54.911668066000004
693,53.213873206
694,49.485466069
695,49.137534566999996
696,48.348898229
697,47.457315808000004
698,46.111936751
699,46.585348485000004
700,47.084956766000005
701,52.860012411
702,52.056626205
703,51.59674376299999
704,50.011478905
705,52.022182765000004
706,50.832677247999996
707,52.147521673
708,52.17153495499999
709,52.656104628
710,54.976872391
711,51.107843575000004
712,52.573500932
713,53.724952345
714,54.978715487
715,53.704210706
716,55.921152886
717,51.801322284
718,49.064664548
719,47.870642962
720,47.348880355000006
721,46.02414066199999
722,45.669346755
723,46.127965575000005
724,46.799228852
725,50.501495059999996
726,51.757286373
727,51.091044783
728,48.767420413
729,49.714641754
730,54.17584599
731,51.323911902999996
732,51.96393966400001
733,53.859361526
734,54.298510193000006
735,51.299726183000004
736,52.948831263
737,54.760798515000005
738,55.321329957
739,54.08368183099999
740,55.49492490600001
741,55.091767908
742,50.999336542
743,50.55813113
744,47.98557213299999
745,45.502179177
746,44.944013534
747,45.384693834
748,45.80334783
749,49.634176972999995
750,51.108146309000006
751,53.162740715
752,49.758904583
753,50.860011574
754,52.135016265
755,52.836425007
756,55.45104647000001
757,53.676359061
758,53.457832161
759,52.547400356999994
760,54.008497457000004
761,54.892916091
762,56.147601337
763,56.317738161
764,66.589897883
765,64.875758758
766,67.70093126500001
767,63.546069837000005
768,68.61958690300001
769,68.292323732
770,67.026009059
771,66.517664444
772,64.916205851
773,53.519474951999996
774,47.356355549
775,45.591542184
776,45.355375593999995
777,45.900793465999996
778,45.9984105
779,53.157717464
780,61.168037299
781,59.673550612
782,61.687778267
783,60.912495146999994
784,62.824888594
785,63.106659832999995
786,67.658692644
787,64.31656856
788,67.917113583
789,68.387187867
790,68.981465079
791,70.51532450900001
792,71.079460063
793,69.21760472599999
794,67.361989048
795,64.95424047499999
796,65.109646457
797,55.562295086
798,48.1921345
799,46.501488659
800,46.510186463
801,46.850805369
802,46.840018336
803,55.642760759000005
804,61.708416795000005
805,60.704851575999996
