Wind Speed (m/s),Wind Direction (°),ActivePower (kW)
6.111453056,220.8426056,711.4956055
6.456322193,237.0653076,838.1519165
6.666657925,235.6674957,881.0620728
6.16287899,229.3296967,663.703125
6.013167858,234.9006042,578.2615967
5.561203003,230.4228058,465.6200867
4.960731983,229.5375061,311.0509033
4.60387516,231.7984924,230.0554962
4.554533958,234.1056061,233.9906006
4.26362896,228.7767029,175.5921936
3.894139051,227.9389954,118.1331024
4.038761139,224.4649963,142.2024994
4.505650997,224.9505005,212.5661926
4.543397903,229.127594,222.6100006
4.323760986,227.0399933,194.1811981
3.634437084,230.3146057,82.64074707
3.705512047,233.9532928,75.8952179
3.253968,233.0659027,41.94723892
3.775136948,227.7534943,118.5345993
4.693500996,229.8966064,250.7559052
5.002939224,235.2794952,346.8644104
5.364749908,235.5852966,416.4179077
5.016181946,229.9429016,331.9414978
5.970407963,235.6952972,583.4799194
6.655520916,241.4573975,776.5526733
6.600903988,242.7821045,752.7263794
5.981378078,234.9844055,589.0731201
7.424593925,235.1472931,1109.128052
8.186451912,238.4790955,1482.459961
8.27493,237.0332031,1523.430054
8.449202538,238.3323975,1572.170044
8.575974464,235.6414032,1698.939941
8.282259941,236.4613953,1616.845947
8.734552383,234.3547974,1796.823975
8.764103889,231.0016022,1885.860962
9.669431686,227.6000977,2327.511963
10.14109039,227.7315979,2499.162109
10.77241993,225.2763977,2820.512939
10.64752007,224.680603,2812.279053
9.982661247,225.5195007,2530.447021
9.874385834,227.2738037,2399.121094
9.785479546,229.2554932,2335.587891
9.614232063,230.7368927,2341.133057
9.618504524,229.490799,2391.8479
9.098683357,223.960907,2118.389893
8.677425385,219.7937012,1866.845947
8.774898529,219.0449066,1865.619019
8.689981461,215.3352051,1862.447998
8.631073952,216.2799988,1884.119019
8.614569664,214.5290985,1855.776978
9.21884346,212.1799011,1958.133057
10.04951954,210.3085938,2228.24292
10.31871033,210.5881042,2529.291016
10.76675987,207.4813995,2788.25708
10.55825043,208.5518951,2692.929932
10.25072002,208.0106964,2535.353027
10.46477032,205.7528992,2584.665039
11.39078045,200.6542969,2960.183105
11.56554031,198.1242981,3062.978027
11.2802496,198.5381927,3024.39209
11.33677959,200.4904022,3187.9729
11.80463982,199.2469025,3387.228027
11.3635397,199.8054962,3209.018066
